step,reward,duty_cmd,eff_duty,on_steps,on_frac,vC,iL
1497,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1498,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1499,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1500,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1501,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1502,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1503,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1504,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1505,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1506,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1507,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1508,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1509,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1510,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1511,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1512,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1513,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1514,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1515,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1516,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1517,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1518,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1519,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1520,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1521,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1522,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1523,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1524,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1525,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1526,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1527,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1528,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1529,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1530,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1531,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1532,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1533,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1534,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1535,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1536,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1537,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1538,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1539,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1540,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1541,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1542,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1543,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1544,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1545,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1546,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1547,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1548,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1549,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1550,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1551,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1552,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1553,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1554,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1555,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1556,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1557,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1558,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1559,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1560,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1561,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1562,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1563,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1564,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1565,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1566,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1567,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1568,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1569,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1570,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1571,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1572,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1573,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1574,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1575,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1576,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1577,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1578,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1579,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1580,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1581,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1582,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1583,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1584,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1585,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1586,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1587,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1588,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1589,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1590,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1591,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1592,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1593,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1594,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1595,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1596,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1597,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1598,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1599,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1600,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1601,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1602,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1603,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1604,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1605,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1606,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1607,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1608,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1609,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1610,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1611,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1612,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1613,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1614,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1615,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1616,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1617,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1618,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1619,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1620,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1621,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1622,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1623,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1624,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1625,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1626,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1627,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1628,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1629,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1630,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1631,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1632,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1633,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1634,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1635,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1636,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1637,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1638,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1639,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1640,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1641,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1642,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1643,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1644,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1645,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1646,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1647,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1648,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1649,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1650,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1651,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1652,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1653,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1654,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1655,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1656,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1657,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1658,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1659,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1660,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1661,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1662,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1663,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1664,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1665,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1666,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1667,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1668,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1669,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1670,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1671,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1672,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1673,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1674,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1675,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1676,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1677,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1678,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1679,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1680,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1681,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1682,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1683,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1684,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1685,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1686,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1687,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1688,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1689,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1690,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1691,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1692,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1693,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1694,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1695,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1696,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1697,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1698,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1699,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1700,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1701,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1702,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1703,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1704,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1705,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1706,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1707,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1708,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1709,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1710,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1711,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1712,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1713,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1714,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1715,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1716,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1717,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1718,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1719,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1720,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1721,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1722,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1723,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1724,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1725,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1726,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1727,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1728,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1729,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1730,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1731,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1732,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1733,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1734,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1735,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1736,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1737,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1738,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1739,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1740,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1741,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1742,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1743,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1744,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1745,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1746,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1747,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1748,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1749,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1750,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1751,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1752,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1753,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1754,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1755,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1756,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1757,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1758,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1759,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1760,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1761,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1762,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1763,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
1764,0.051356166361290354,0.1,0.10000000149011612,2,2.9802322387695312e-08,-6.88258994438994,0.0
